"t_id","t_date","t_text"
"1120401713675014144","4/22/2019 18:59","b'\xe2\x80\x9cThe Obama Administration did not do itself proud in this.\xe2\x80\x9d @ByronYork https://t.co/6IDI1vEqFV'"
"1120393189624569856","4/22/2019 18:25","b'SOUTHERN BORDER CRISIS! @LouDobbs https://t.co/2w3Qt9p8ER'"
"1120388545506619395","4/22/2019 18:06","b'Spoke to the Prime Minister of Italy, Giuseppe Conte, mostly concerning Immigration, Taxes, Trade, and the Economy\xe2\x80\xa6 https://t.co/RchfhsSbA1'"
"1120388061202976768","4/22/2019 18:05","b'Spoke to Prime Minister Ranil Wickremesinghe of Sri Lanka this morning to inform him that the United States stands\xe2\x80\xa6 https://t.co/jcugbMEx3E'"
"1120371278039474177","4/22/2019 16:58","b'RT @realDonaldTrump: How do you impeach a Republican President for a crime that was committed by the Democrats? MAKE AMERICA GREAT AGAIN!'"
"1120360773807693826","4/22/2019 16:16","b'My friend Herman Cain, a truly wonderful man, has asked me not to nominate him for a seat on the Federal Reserve Bo\xe2\x80\xa6 https://t.co/49kXbzXBwv'"
"1120331020266549249","4/22/2019 14:18","b'Congratulations! https://t.co/1qWbGqCCyj'"
"1120329282893557760","4/22/2019 14:11","b'Thank you @MarkLevinShow! #MAGA https://t.co/kff84hFgKP'"
"1120323291443539969","4/22/2019 13:47","b'Only high crimes and misdemeanors can lead to impeachment. There were no crimes by me (No Collusion, No Obstruction\xe2\x80\xa6 https://t.co/DorpeX0Qm1'"
"1120320642686038016","4/22/2019 13:37","b'Saudi Arabia and others in OPEC will more than make up the Oil Flow difference in our now Full Sanctions on Iranian\xe2\x80\xa6 https://t.co/NkKkvxhh0R'"
"1120309471392169984","4/22/2019 12:52","b'So true - thanks @SteveHiltonx @NextRevFNC! https://t.co/2UK8RgzRQL'"
"1120093671356022785","4/21/2019 22:35","b'How do you impeach a Republican President for a crime that was committed by the Democrats? MAKE AMERICA GREAT AGAIN!'"
"1119969946002440198","4/21/2019 14:23","b'Can you believe that I had to go through the worst and most corrupt political Witch Hunt in the history of the Unit\xe2\x80\xa6 https://t.co/dqchr5i7rz'"
"1119962857347735552","4/21/2019 13:55","b'Jobless claims in the United States have reached their lowest (BEST) level in over 50 years!'"
"1119946842148622336","4/21/2019 12:51","b'Despite No Collusion, No Obstruction, The Radical Left Democrats do not want to go on to Legislate for the good of\xe2\x80\xa6 https://t.co/tJGQpCW559'"
"1119943293297623040","4/21/2019 12:37","b'The Trump Haters and Angry Democrats who wrote the Mueller Report were devastated by the No Collusion finding! Noth\xe2\x80\xa6 https://t.co/9DCJiuDKA7'"
"1119928890162601984","4/21/2019 11:40","b'Do you believe this? The New York Times Op-Ed: MEDIA AND DEMOCRATS OWE TRUMP AN APOLOGY. Well, they got that one right!'"
"1119923840161857536","4/21/2019 11:20","b'138 people have been killed in Sri Lanka, with more that 600 badly injured, in a terrorist attack on churches and h\xe2\x80\xa6 https://t.co/pgcaUdgmpN'"
"1119919713600114688","4/21/2019 11:04","b'Happy Easter! I have never been happier or more content because your Country is doing so well, with an Economy that\xe2\x80\xa6 https://t.co/mDTlFUFVpq'"
"1119813331458633728","4/21/2019 4:01","b'RT @ByronYork: Lotta stuff in the report. From @SecretsBedard: Kushner cleared of seeking Russian money to pay real estate debt. https://t.\xe2\x80\xa6'"
"1119800605134991360","4/21/2019 3:10","b'RT @seanhannity: Prior Reporting Confirmed That Some FBI Agents Were FED UP With Comey https://t.co/xKVZMVnOQI'"
"1119781053932232705","4/21/2019 1:53","b'Thank you @JesseBWatters and @DBongino! https://t.co/aGH4GBzhqh'"
"1119778923691368448","4/21/2019 1:44","b'https://t.co/xiMQFztJlV'"
"1119746509170515969","4/20/2019 23:35","b'RT @RepDougCollins: This is ridiculous. AG Barr gives Democrats unprecedented accommodations, and they refuse them hours after Chairman Nad\xe2\x80\xa6'"
"1119746080684507136","4/20/2019 23:34","b'Good night of television! 8:00 PM @WattersWorld  9:00 PM @JudgeJeanine with interview of @RudyGiuliani followed by\xe2\x80\xa6 https://t.co/FT7fgjvDHy'"
"1119743164661882882","4/20/2019 23:22","b'RT @LouDobbs: #DrainTheSwamp - @GreggJarrett: No one takes anything Schiff says seriously because he lost all credibility. For 2 years he c\xe2\x80\xa6'"
"1119742646631784450","4/20/2019 23:20","b'RT @MariaBartiromo: Tomorrow #EXCLUSIVE @SundayFutures @FoxNews #BreakingNews 10am et @LindseyGrahamSC \n@RepDougCollins\n@RepCartwright\n@Rep\xe2\x80\xa6'"
"1119742577367027713","4/20/2019 23:20","b'RT @MariaBartiromo: Happening now: @LindseyGrahamSC ""we are working on a package to change the immigration laws &amp"
"1119738237218631680","4/20/2019 23:02","b'Check out @MarkLevinShow: Life, Liberty &amp"
"1119724814258843648","4/20/2019 22:09","b'If @MittRomney spent the same energy fighting Barack Obama as he does fighting Donald Trump, he could have won the\xe2\x80\xa6 https://t.co/o3xUWUPqOG'"
"1119721221208313856","4/20/2019 21:55","b'RT @marklevinshow: My appearance on Fox &amp"
"1119719409860382727","4/20/2019 21:48","b'RT @DanScavino: I am with the President at the Southern White House, I have never seen him happier!'"
"1119718924105416711","4/20/2019 21:46","b'https://t.co/bCvpOGCD4t'"
"1119660169967931394","4/20/2019 17:52","b""RT @IvankaTrump: Wonderful and productive visit to C\xc3\xb4te d'Ivoire! #WGDP! \n\xf0\x9f\x8e\xa5: https://t.co/zzEsYYOyUp"""
"1119660126158381056","4/20/2019 17:52","b'RT @IvankaTrump: Thank you for an incredible trip Ethiopia! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa\xf0\x9f\x87\xb9 https://t.co/lqE2XLQ25I'"
"1119629941677547520","4/20/2019 15:52","b'https://t.co/yoWCQLuxbD'"
"1119575361522737152","4/20/2019 12:15","b'The end result of the greatest Witch Hunt in U.S. political history is No Collusion with Russia (and No Obstruction). Pretty Amazing!'"
"1119572078175367168","4/20/2019 12:02","b'The Fake News Media is doing everything possible to stir up and anger the pols and as many people as possible seldo\xe2\x80\xa6 https://t.co/lvCYg9Xry8'"
"1119569774286135297","4/20/2019 11:53","b'Despite the fact that the Mueller Report should not have been authorized in the first place &amp"
"1119377807497363456","4/19/2019 23:10","b'Wishing a Happy Passover to all those celebrating in America, Israel, and around the world! https://t.co/h3wgLZ4mxS'"
"1119372874442108928","4/19/2019 22:51","b'\xe2\x80\x9cTRUMP HAS BEEN TOTALLY VINDICATED\xe2\x80\x9d https://t.co/ZjmmVD1T4z'"
"1119371652884647936","4/19/2019 22:46","b'RT @seanhannity: Mueller\xe2\x80\x99s Final Report \xe2\x80\x98Completely Vindicates\xe2\x80\x99 President Trump \xf0\x9f\x91\x87 https://t.co/t97JxHWdji'"
"1119371441672032256","4/19/2019 22:45","b'RT @marklevinshow: More on the phony collusion scam https://t.co/pYwRe1ojNI'"
"1119356164343500801","4/19/2019 21:44","b'RT @RepMattGaetz: \xe2\x80\x9cYou have guys that come through here that do this for a living\xe2\x80\xa6they bring groups across, they bring drugs across.\xe2\x80\x9d\n\nSher\xe2\x80\xa6'"
"1119355706078105604","4/19/2019 21:42","b""RT @TeamCavuto: .@RepMarkMeadows It's a good day for America and it's a good day for the President https://t.co/z2mpJu2JWJ"""
"1119355283585761282","4/19/2019 21:41","b'Time for Democrats to accept reality https://t.co/3SyAnkSVlX'"
